gender,event,in_top500_age15,in_top500_age16,in_top500_age17,in_top500_age18,dropped_15_to_16,reappeared_at_17_after_dropout,reappeared_at_18_after_dropout_15_16,reappeared_at_17_or_18_after_dropout,pct_reappeared_17_or_18,in_15_and_16,dropped_16_to_17,reappeared_at_18_after_dropout_16_17,pct_reappeared_18_after_dropout_16_17
F,50 Free,499,500,500,499,164,32,40,53,32.31707317073171,335,71,27,38.028169014084504
F,100 Free,499,500,499,500,158,24,30,41,25.949367088607595,341,73,25,34.24657534246575
F,200 Free,499,500,500,500,151,36,31,54,35.76158940397351,348,80,27,33.75
F,400 Free,500,500,500,499,152,31,24,44,28.947368421052634,348,88,24,27.27272727272727
F,800 Free,499,500,500,335,201,39,17,49,24.378109452736318,298,115,15,13.043478260869565
F,1500 Free,499,499,500,224,218,22,9,25,11.46788990825688,281,115,10,8.695652173913043
F,100 Back,500,500,500,500,157,32,37,53,33.75796178343949,343,74,19,25.675675675675674
F,200 Back,500,500,500,500,161,28,29,46,28.57142857142857,339,83,19,22.89156626506024
F,100 Breast,499,500,500,500,139,32,31,45,32.37410071942446,360,93,24,25.806451612903224
F,200 Breast,499,500,500,500,438,244,162,267,60.95890410958904,61,13,5,38.46153846153847
F,100 Fly,500,500,500,500,147,33,28,43,29.25170068027211,353,79,18,22.78481012658228
F,200 Fly,500,500,500,467,147,35,24,50,34.01360544217687,353,101,6,5.9405940594059405
F,200 IM,500,500,500,500,154,41,30,59,38.311688311688314,346,89,26,29.213483146067414
F,400 IM,500,500,500,475,159,33,21,44,27.67295597484277,341,90,14,15.555555555555555
M,50 Free,499,500,499,500,198,35,33,54,27.27272727272727,301,99,23,23.232323232323232
M,100 Free,499,500,499,500,201,35,36,49,24.378109452736318,298,74,14,18.91891891891892
M,200 Free,500,500,500,500,168,31,29,43,25.595238095238095,332,89,21,23.595505617977526
M,400 Free,499,500,500,500,170,26,20,35,20.588235294117645,329,77,11,14.285714285714285
M,800 Free,500,499,499,449,195,33,20,40,20.51282051282051,305,84,6,7.142857142857142
M,1500 Free,500,500,500,291,218,41,10,45,20.642201834862387,282,92,5,5.434782608695652
M,100 Back,500,500,500,500,164,35,27,46,28.04878048780488,336,101,16,15.841584158415841
M,200 Back,500,500,500,500,161,33,20,41,25.465838509316768,339,81,11,13.580246913580247
M,100 Breast,500,500,500,500,155,29,21,42,27.09677419354839,345,87,19,21.839080459770116
M,200 Breast,500,500,914,500,162,37,23,47,29.01234567901235,338,87,13,14.942528735632186
M,100 Fly,499,499,499,500,169,32,28,45,26.627218934911244,330,96,25,26.041666666666668
M,200 Fly,499,500,500,500,162,29,22,43,26.543209876543212,337,83,17,20.481927710843372
M,200 IM,500,500,500,500,167,46,31,57,34.13173652694611,333,104,28,26.923076923076923
M,400 IM,500,500,500,500,451,250,164,279,61.86252771618626,49,10,3,30.0
